[2022-03-31 19:10:50.676 +05:30 INF]  Now listening on: "https://localhost:7097"
[2022-03-31 19:10:50.834 +05:30 INF]  Now listening on: "http://localhost:5097"
[2022-03-31 19:10:50.992 +05:30 INF]  Application started. Press Ctrl+C to shut down.
[2022-03-31 19:10:50.999 +05:30 INF]  Hosting environment: "Development"
[2022-03-31 19:10:51.003 +05:30 INF]  Content root path: "D:\\dot net\\TestWebApi\\TestWebApi\\"
[2022-03-31 19:10:52.889 +05:30 INF]  Request starting HTTP/2 GET https://localhost:7097/swagger/index.html - -
[2022-03-31 19:10:53.751 +05:30 INF]  Request finished HTTP/2 GET https://localhost:7097/swagger/index.html - - - 200 - text/html;charset=utf-8 869.9274ms
[2022-03-31 19:10:54.015 +05:30 INF]  Request starting HTTP/2 GET https://localhost:7097/_framework/aspnetcore-browser-refresh.js - -
[2022-03-31 19:10:54.022 +05:30 INF]  Request finished HTTP/2 GET https://localhost:7097/_framework/aspnetcore-browser-refresh.js - - - 200 11978 application/javascript;+charset=utf-8 7.3666ms
[2022-03-31 19:10:54.358 +05:30 INF]  Request starting HTTP/2 GET https://localhost:7097/swagger/v1/swagger.json - -
[2022-03-31 19:10:54.788 +05:30 INF]  Request finished HTTP/2 GET https://localhost:7097/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 429.2913ms
