[2022-03-31 18:45:50.697 +05:30 INF]  Now listening on: "https://localhost:7097"
[2022-03-31 18:45:50.879 +05:30 INF]  Now listening on: "http://localhost:5097"
[2022-03-31 18:45:50.904 +05:30 INF]  Application started. Press Ctrl+C to shut down.
[2022-03-31 18:45:50.918 +05:30 INF]  Hosting environment: "Development"
[2022-03-31 18:45:50.927 +05:30 INF]  Content root path: "D:\\dot net\\TestWebApi\\TestWebApi\\"
[2022-03-31 18:45:52.390 +05:30 INF]  Request starting HTTP/2 GET https://localhost:7097/swagger/index.html - -
[2022-03-31 18:45:53.171 +05:30 INF]  Request finished HTTP/2 GET https://localhost:7097/swagger/index.html - - - 200 - text/html;charset=utf-8 787.1288ms
[2022-03-31 18:45:53.244 +05:30 INF]  Request starting HTTP/2 GET https://localhost:7097/_framework/aspnetcore-browser-refresh.js - -
[2022-03-31 18:45:53.254 +05:30 INF]  Request finished HTTP/2 GET https://localhost:7097/_framework/aspnetcore-browser-refresh.js - - - 200 11978 application/javascript;+charset=utf-8 9.9066ms
[2022-03-31 18:45:53.550 +05:30 INF]  Request starting HTTP/2 GET https://localhost:7097/swagger/v1/swagger.json - -
[2022-03-31 18:45:53.906 +05:30 INF]  Request finished HTTP/2 GET https://localhost:7097/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 356.1934ms
